,ChatGPT,2023 Cricket World Cup,Oppenheimer (film),J. Robert Oppenheimer,Cricket World Cup,Jawan (film),Taylor Swift,The Last of Us (TV series),Pathaan (film),Premier League,Barbie (film),Cristiano Ronaldo,The Idol (TV series),United States,Matthew Perry,Lionel Messi,Animal (2023 film),Elon Musk,India,Avatar: The Way of Water,Lisa Marie Presley,Guardians of the Galaxy Vol. 3,Russian invasion of Ukraine,Leo (2023 Indian film),2023 Israel–Hamas war,Israel,Andrew Tate,Elizabeth II,David Beckham,Fast X,Sinéad O'Connor,Spider,Elvis Presley,Killers of the Flower Moon (film),Twitter,Travis Kelce,The Super Mario Bros. Movie,Pedro Pascal,Charles III,Donald Trump,Tina Turner,Indiana Jones and the Dial of Destiny,Joe Biden,John Wick: Chapter 4,Gadar 2,Everything Everywhere All at Once,Margot Robbie,Jeffrey Dahmer,2022 Russian invasion of Ukraine,2022 FIFA World Cup
attention,2,0,1,3,1,1,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,0,3,1,0,0,0,0,5,3,0,0,6,0,0,4,2,6,0,0
field,4,0,0,6,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
artificial,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
intelligence,12,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,7,0,0,0,1,11,0,12,0,0,0,2,0,0,2,1,0,2,0,0,0,0,4,0,1,2,0,0,0,0,0,11,0
Some,3,0,1,2,0,3,1,1,1,0,3,1,0,1,0,0,0,1,1,0,0,0,5,3,4,5,0,2,0,0,0,2,3,2,1,2,1,0,0,1,0,0,2,0,1,0,0,1,5,2
observers,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0
raised,2,0,1,0,0,0,3,0,0,2,0,1,0,0,1,0,0,3,0,1,2,0,2,0,0,1,2,1,0,0,0,0,2,0,0,0,2,1,1,2,2,0,7,0,0,0,2,0,2,4
concern,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
potential,5,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,2,2,2,2,0,3,0,2,4,0,0,0,0,1,0,3,0,3,5,0,2,1,0,0,1,0,1,2,2
ChatGPT,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
similar,3,0,1,2,1,0,0,0,0,0,3,1,0,0,0,1,0,2,2,1,0,0,4,0,0,1,0,1,0,3,1,1,0,3,5,0,5,0,2,2,0,4,4,0,0,0,1,0,4,0
programs,3,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
displace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atrophy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human,17,0,1,1,0,0,0,0,0,0,5,0,0,3,0,1,0,8,9,5,0,0,2,0,6,10,14,0,0,1,2,0,2,1,0,0,1,0,2,1,0,0,1,0,0,2,1,3,2,3
enable,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plagiarism,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fuel,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
misinformation.By,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,7,0,3,5,0,1,0,14,7,3,0,11,1,5,0,2,0,5,2,7,8,2,8,4,12,0,15,3,26,4,6,3,15,3,15,5,5,1,3,33,1,0,25,0,1,5,0,7,8,1
2023,66,16,19,5,7,26,23,7,15,2,48,11,8,15,7,13,0,26,6,7,3,16,50,31,19,4,24,1,3,37,8,41,7,15,38,20,26,2,9,17,5,12,26,14,12,4,7,2,50,2
become,2,0,7,6,2,3,5,0,3,1,5,8,0,6,1,6,0,6,8,0,1,1,1,2,3,3,3,5,4,1,2,4,7,0,0,0,4,2,0,1,2,1,4,1,1,0,0,2,1,0
fastest-growing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consumer,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
software,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
application,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
history,5,0,0,5,2,1,7,2,1,4,8,11,0,3,0,12,0,1,4,1,0,1,3,0,3,9,1,3,6,5,0,0,1,5,5,7,0,1,7,5,6,1,8,0,1,2,1,1,3,4
gaining,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,2,2,4,1,0,0,18,2,3,1,1,6,1,1,0,4,0,8,4,2,4,2,3,0,3,4,0,0,6,2,0,2,2,1,3,12,3,1,0,5,13,2,0,2,0,3,6,1,3,0
million,5,5,38,2,2,16,31,15,32,34,39,29,0,33,4,22,0,32,24,50,5,22,17,21,5,14,18,3,18,33,1,28,17,21,52,8,35,0,15,53,19,33,4,20,7,26,9,0,17,10
users,23,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
contributing,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
growth,3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,4,0,0,12,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,0,8,0,0,0,0,0,1,0
OpenAI,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
's,82,5,133,119,15,52,119,65,36,56,136,106,24,99,17,118,0,106,101,78,69,94,109,58,68,121,57,107,200,112,61,100,209,76,105,31,107,41,127,169,85,102,131,52,19,82,69,129,109,71
current,2,0,1,0,5,0,0,0,1,3,0,0,0,0,0,1,0,2,1,0,0,1,5,0,1,0,1,3,1,0,0,0,1,0,4,0,2,0,2,0,0,0,2,1,0,0,0,0,5,0
valuation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
billion,1,0,1,0,4,0,6,0,0,23,6,4,0,5,0,2,0,24,13,9,0,0,7,0,0,14,2,1,1,1,0,0,1,0,2,0,5,0,1,24,0,0,12,0,0,0,1,0,7,4
release,5,0,18,1,0,17,2,0,10,0,15,1,1,0,1,1,0,1,0,19,0,6,0,14,8,0,0,0,2,10,3,21,8,6,2,2,8,0,2,4,8,10,2,10,1,10,10,2,0,1
spurred,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
competing,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
products,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,0,0,1,2,0,2,0,0,1,0,0,0,1,0,7,1,0,0,5,1,0,0,0,0,0,0,0,0,1,0
including,13,1,13,17,3,3,13,9,6,10,8,9,0,17,2,5,0,13,8,13,1,13,32,1,36,26,13,6,12,8,9,4,11,8,24,14,3,4,9,30,9,13,11,5,0,11,2,3,32,12
Gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Llama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
launched,6,0,0,0,1,1,1,0,0,0,0,3,0,2,1,0,0,9,1,3,0,1,26,0,22,6,1,0,3,1,0,0,2,0,13,3,0,0,3,7,1,0,4,0,0,0,0,0,26,1
Copilot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
initially,7,0,0,2,1,1,2,0,0,1,4,0,0,0,1,4,0,2,2,0,0,2,0,2,1,2,1,1,0,6,0,2,1,1,9,0,1,0,0,7,1,3,4,2,1,2,1,10,0,2
based,8,0,3,7,0,0,3,4,2,6,4,0,2,4,2,3,0,1,5,4,3,3,0,1,3,7,3,1,1,1,1,6,2,2,11,0,9,3,6,2,1,2,1,1,1,1,7,0,0,5
GPT-4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In,32,3,20,54,8,11,33,4,7,29,32,40,2,32,21,21,0,81,46,27,17,31,50,5,20,65,33,43,56,26,30,20,60,15,59,60,20,12,56,91,51,18,45,14,1,10,26,19,50,25
June,6,7,0,7,2,6,5,8,4,6,9,14,6,1,2,9,0,7,3,8,5,5,33,3,7,3,4,6,12,9,6,17,13,3,23,2,4,3,6,17,0,10,13,6,1,2,1,4,33,4
2024,19,0,7,0,1,0,12,6,1,1,1,5,0,5,4,5,0,21,4,3,5,0,25,0,33,6,21,0,1,5,4,10,0,4,11,11,3,3,5,18,0,1,28,2,0,1,2,0,25,0
partnership,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,1,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Apple,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inc.,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
announced,2,10,5,0,0,1,0,8,4,9,8,1,8,0,0,5,0,10,0,17,1,5,25,5,22,1,2,4,21,11,7,9,6,5,46,2,7,0,11,9,2,5,19,6,2,2,1,2,25,9
integrated,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
feature,1,0,3,0,0,0,3,0,0,0,4,1,0,2,0,1,0,0,2,5,1,2,1,1,0,1,0,0,1,4,1,0,1,1,25,1,3,0,0,0,0,1,0,2,0,0,1,0,1,1
operating,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
systems,7,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,4,2,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
As,5,0,8,9,1,0,3,0,0,8,5,2,0,12,1,3,0,5,6,1,2,4,9,4,1,13,4,11,5,4,0,2,18,2,9,1,1,1,2,7,5,4,12,3,0,3,2,5,9,3
July,9,2,9,4,0,3,4,8,2,4,31,8,3,6,2,4,0,12,0,5,1,8,19,2,17,5,8,6,18,2,8,3,6,3,25,0,2,1,8,20,11,8,14,1,2,5,3,11,19,6
website,3,0,2,0,0,2,0,0,1,0,2,3,1,0,0,0,0,4,0,2,0,1,2,1,0,0,2,0,0,2,2,3,0,2,7,0,3,0,0,0,0,2,0,2,1,2,0,0,2,1
among,1,1,0,2,1,0,5,2,1,1,5,2,1,10,0,13,0,2,19,1,3,2,4,0,6,15,5,3,11,0,2,0,3,2,3,13,1,0,1,6,1,1,5,0,0,0,3,1,4,3
20,2,1,4,2,1,1,1,0,1,17,1,6,0,1,1,1,0,3,1,4,1,1,16,1,13,5,3,6,8,2,1,3,6,5,6,3,0,0,3,5,1,1,10,1,1,1,0,5,16,8
most-visited,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
websites.ChatGPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
built,3,0,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,6,0,0,0,1,2,1,0,1,2,0,0,0,2,1,1,2,2,0,0,0,0,0,2,2
proprietary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
series,3,0,3,5,2,0,1,30,1,1,2,1,30,4,5,2,0,3,1,5,0,10,1,0,7,7,2,2,1,3,4,8,2,1,1,2,0,10,1,2,3,14,1,7,1,1,10,1,1,0
generative,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pre-trained,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transformer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
models,14,0,2,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fine-tuned,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conversational,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
applications,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
using,12,2,3,4,1,0,0,1,0,0,1,2,2,1,0,0,0,2,1,1,5,2,5,3,10,0,4,2,1,2,0,2,0,2,26,0,5,1,1,3,0,7,0,1,0,4,0,4,5,0
combination,1,0,3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0
supervised,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learning,12,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,7,0,0,0,1,1,0,0,0,0,3,0,2,1,0,0
reinforcement,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
feedback,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prompts,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
considered,2,0,0,8,2,0,3,5,0,2,5,2,3,5,0,2,0,3,1,1,0,3,5,1,0,11,0,0,3,8,1,0,2,1,2,0,2,0,0,4,5,10,5,0,0,0,1,0,5,2
conversation,10,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
stage,2,6,0,1,16,0,2,0,0,1,0,7,0,1,1,3,0,1,3,2,2,1,3,0,0,0,0,0,5,1,1,0,15,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,3,14
context,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
released,6,3,17,1,0,8,18,8,10,1,26,5,5,0,4,1,0,5,1,31,12,14,5,17,11,0,2,1,3,21,19,14,21,3,11,4,20,2,4,9,32,10,0,10,7,8,3,0,5,8
freely,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
available,8,2,0,1,1,0,2,1,0,6,3,0,0,2,0,1,0,0,0,3,1,3,2,1,2,1,0,0,1,0,0,2,0,2,11,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3
research,10,0,4,15,0,0,2,0,0,0,1,1,0,2,0,2,0,6,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,7,0,0,0,0,1,0,3,3,0,0,1,0,2,0,0
preview,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
due,4,1,4,4,2,4,1,4,0,7,10,4,1,2,4,10,0,5,1,8,1,7,8,5,13,7,1,1,8,5,0,8,1,6,5,6,2,3,1,8,1,3,3,7,0,4,1,6,8,5
popularity,2,0,0,0,2,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,1,0,1,1,0,1,2,0,0,0,3,0,0,1,0,0,0,0
operates,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service,8,0,0,3,0,0,0,0,0,1,0,1,0,10,0,0,0,5,1,0,2,0,4,0,2,3,0,11,1,1,1,0,3,0,39,1,3,0,7,3,0,0,1,2,0,0,1,4,4,2
freemium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mChatGPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chatbot,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
developed,5,0,1,7,0,0,2,2,1,0,0,2,0,12,0,2,0,3,7,1,0,3,0,0,0,10,0,1,0,0,0,1,1,0,2,0,0,1,2,0,0,3,2,0,0,1,0,1,0,1
Launched,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12,1,12,2,0,6,11,5,9,2,14,7,6,14,3,9,0,33,3,25,2,12,68,7,1,7,19,5,2,19,4,14,2,2,37,8,12,2,19,17,1,10,31,3,1,14,3,0,68,60
GPT-3.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,8,0,1,5,0,0,1,0,0,2,1,0,0,11,0,1,0,3,9,1,0,0,8,1,4,6,0,1,2,5,1,1,4,0,4,0,0,0,0,3,0,0,2,0,0,3,0,5,8,2
